ensembl,symbol,description,log2FoldChange,pvalue,padj,206221_sp_7d_tg,206220_sp_7d_tg,206222_sp_7d_tg,206218_sp_7d_tg,206333_sp_7d_tg,206334_sp_7d_tg,206346_sp_7d_wt,193373_sp_7d_wt,193377_sp_7d_wt,206219_sp_7d_wt,206332_sp_7d_wt,206217_sp_7d_wt
ENSMUSG00000035642,Aamdc,adipogenesis associated Mth938 domain containing [Source:MGI Symbol;Acc:MGI:1913523],-3.226509655,1.78E-120,8.91E-118,65,63,60,63,88,74,731,493,478,558,616,879
ENSMUSG00000026317,Cln8,CLN8 transmembrane ER and ERGIC protein [Source:MGI Symbol;Acc:MGI:1349447],3.3144875,2.92E-120,1.43E-117,917,1038,764,651,870,784,88,47,108,81,64,101
ENSMUSG00000023905,Tnfrsf12a,"tumor necrosis factor receptor superfamily, member 12a [Source:MGI Symbol;Acc:MGI:1351484]",3.533958319,5.75E-120,2.75E-117,352,543,375,408,412,415,40,34,45,21,35,32
ENSMUSG00000024887,Asah2,N-acylsphingosine amidohydrolase 2 [Source:MGI Symbol;Acc:MGI:1859310],-4.824722007,3.02E-118,1.41E-115,91,84,78,83,92,88,1574,1381,3900,1909,2259,3164
ENSMUSG00000015652,Steap1,six transmembrane epithelial antigen of the prostate 1 [Source:MGI Symbol;Acc:MGI:1917608],4.623930208,6.39E-117,2.93E-114,411,612,365,381,458,405,16,29,10,17,18,11
ENSMUSG00000035780,Ugt2a3,"UDP glucuronosyltransferase 2 family, polypeptide A3 [Source:MGI Symbol;Acc:MGI:1919344]",-7.837884779,4.57E-116,2.05E-113,3,2,3,2,9,1,828,553,610,727,758,945
ENSMUSG00000029377,Ereg,epiregulin [Source:MGI Symbol;Acc:MGI:107508],4.512596788,8.39E-115,3.68E-112,484,565,356,526,504,405,10,29,30,15,18,16
ENSMUSG00000018846,Pank3,pantothenate kinase 3 [Source:MGI Symbol;Acc:MGI:2387464],-1.875215276,1.64E-113,7.04E-111,412,416,435,476,505,396,1615,1390,1627,1448,1453,1811
ENSMUSG00000082361,Btc,"betacellulin, epidermal growth factor family member [Source:MGI Symbol;Acc:MGI:99439]",3.774502895,4.13E-113,1.74E-110,471,590,596,616,631,603,40,63,36,29,31,47
ENSMUSG00000029269,Sult1b1,"sulfotransferase family 1B, member 1 [Source:MGI Symbol;Acc:MGI:2136282]",-3.459363213,2.39E-112,9.89E-110,332,212,355,360,338,405,3867,3139,3935,2963,3568,3974
ENSMUSG00000020600,Slc7a15,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 15 [Source:MGI Symbol;Acc:MGI:3045351]",-5.697736227,3.05E-112,1.24E-109,11,8,10,8,15,10,404,295,615,505,580,718
ENSMUSG00000021939,Ctsb,cathepsin B [Source:MGI Symbol;Acc:MGI:88561],1.510295467,9.41E-110,3.75E-107,3928,4642,3566,3598,4442,3876,1599,1082,1254,1261,1244,1724
ENSMUSG00000024313,Mep1b,meprin 1 beta [Source:MGI Symbol;Acc:MGI:96964],-3.330649763,3.09E-107,1.21E-104,158,142,111,128,121,174,1304,950,1662,1057,1417,1753
ENSMUSG00000014361,Mertk,MER proto-oncogene tyrosine kinase [Source:MGI Symbol;Acc:MGI:96965],-3.101557506,9.11E-106,3.50E-103,155,125,120,144,152,125,916,854,1177,1043,1370,1431
ENSMUSG00000029630,Cyp3a25,"cytochrome P450, family 3, subfamily a, polypeptide 25 [Source:MGI Symbol;Acc:MGI:1930638]",-4.780147491,3.01E-102,1.14E-99,29,36,31,24,24,20,647,335,894,708,681,1156
ENSMUSG00000057933,Gsta2,"glutathione S-transferase, alpha 2 (Yc2) [Source:MGI Symbol;Acc:MGI:95863]",5.05269583,4.28E-102,1.59E-99,291,456,421,357,519,541,20,11,4,11,16,13
ENSMUSG00000102802,Mgam2-ps,"maltase-glucoamylase 2, pseudogene [Source:MGI Symbol;Acc:MGI:3645497]",-3.833466092,6.11E-102,2.23E-99,27,22,21,14,24,29,405,289,252,342,278,315
ENSMUSG00000067229,Cyp2c66,"cytochrome P450, family 2, subfamily c, polypeptide 66 [Source:MGI Symbol;Acc:MGI:1917138]",-7.215489828,2.15E-100,7.70E-98,2,3,1,6,11,7,681,648,353,726,808,1071
ENSMUSG00000060002,Chpt1,choline phosphotransferase 1 [Source:MGI Symbol;Acc:MGI:2384841],-2.426298408,2.32E-100,8.19E-98,263,284,290,290,280,287,1630,1010,1232,1536,1556,1902
ENSMUSG00000024665,Fads2,fatty acid desaturase 2 [Source:MGI Symbol;Acc:MGI:1930079],-3.289524149,1.02E-99,3.55E-97,21,38,43,40,47,42,453,309,332,407,310,365
ENSMUSG00000026149,Tm4sf20,transmembrane 4 L six family member 20 [Source:MGI Symbol;Acc:MGI:1913511],2.345262272,1.27E-99,4.34E-97,9520,8596,9221,8189,10170,9014,2237,1803,1515,1552,1466,1828
ENSMUSG00000049422,Chchd10,coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:MGI Symbol;Acc:MGI:2143558],2.807228894,1.79E-99,6.01E-97,14488,14002,14216,11572,15324,15189,2112,1359,2424,1560,2174,2076
ENSMUSG00000027359,Slc27a2,"solute carrier family 27 (fatty acid transporter), member 2 [Source:MGI Symbol;Acc:MGI:1347099]",-4.864968164,2.91E-99,9.62E-97,9,5,14,17,12,12,348,221,264,311,361,456
ENSMUSG00000024924,Vldlr,very low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:98935],4.418167844,1.70E-98,5.55E-96,1603,1449,1420,1305,1323,1170,51,111,57,42,48,58
ENSMUSG00000041126,H2az2,H2A.Z histone variant 2 [Source:MGI Symbol;Acc:MGI:1924855],-2.867917845,5.33E-98,1.71E-95,175,180,231,202,311,257,1655,1210,1820,1479,1538,1873
ENSMUSG00000024359,Hspa9,heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245],2.194639669,5.17E-97,1.64E-94,6211,7981,5529,5001,5247,4982,1354,959,1257,1199,1093,1514
ENSMUSG00000005413,Hmox1,heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163],3.94836046,1.87E-96,5.82E-94,248,300,201,218,319,280,16,22,10,19,13,17
ENSMUSG00000026615,Eprs,glutamyl-prolyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:97838],1.683631269,1.97E-96,6.04E-94,2666,3118,2153,2183,2668,2520,830,576,775,763,742,903
ENSMUSG00000003955,Fam162a,"family with sequence similarity 162, member A [Source:MGI Symbol;Acc:MGI:1917436]",3.485044462,1.27E-95,3.85E-93,2069,2162,2544,1470,2566,2606,171,149,204,148,192,308
ENSMUSG00000020256,Aldh1l2,"aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]",5.126254723,6.53E-94,1.95E-91,293,496,254,296,294,265,10,6,7,14,5,10
ENSMUSG00000005667,Mthfd2,"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]",3.026056032,1.45E-92,4.27E-90,1083,1366,852,944,1030,921,113,150,128,141,85,104
ENSMUSG00000022755,Adgrg7,adhesion G protein-coupled receptor G7 [Source:MGI Symbol;Acc:MGI:2441732],-3.208103572,1.86E-92,5.42E-90,25,36,31,28,26,22,260,241,230,283,191,290
ENSMUSG00000040354,Mars1,methionine-tRNA synthetase 1 [Source:MGI Symbol;Acc:MGI:1345633],1.99185802,8.35E-91,2.39E-88,826,872,728,650,828,736,184,144,207,188,192,208
ENSMUSG00000039878,Slc39a5,"solute carrier family 39 (metal ion transporter), member 5 [Source:MGI Symbol;Acc:MGI:1919336]",-2.906274943,3.80E-90,1.08E-87,49,51,38,67,40,34,357,263,352,325,345,372
ENSMUSG00000020176,Grb10,growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232],3.237219894,6.92E-90,1.93E-87,323,552,340,349,378,333,32,47,43,37,35,35
ENSMUSG00000109715,Gm45606,predicted gene 45606 [Source:MGI Symbol;Acc:MGI:5791442],-3.64215869,5.39E-89,1.49E-86,24,26,24,20,43,18,321,251,379,350,230,326
ENSMUSG00000024044,Epb41l3,erythrocyte membrane protein band 4.1 like 3 [Source:MGI Symbol;Acc:MGI:103008],-3.312796296,1.17E-88,3.17E-86,232,170,127,156,187,171,1692,889,1916,1583,1835,2154
ENSMUSG00000074093,Svip,small VCP/p97-interacting protein [Source:MGI Symbol;Acc:MGI:1922994],-2.405542225,9.09E-88,2.44E-85,72,101,88,66,91,88,478,343,429,388,471,467
ENSMUSG00000034785,Dio1,"deiodinase, iodothyronine, type I [Source:MGI Symbol;Acc:MGI:94896]",-5.414049638,1.35E-87,3.58E-85,5,10,7,12,10,7,393,218,381,234,459,405
ENSMUSG00000040435,Ppp1r15a,"protein phosphatase 1, regulatory subunit 15A [Source:MGI Symbol;Acc:MGI:1927072]",3.807071391,1.92E-87,5.04E-85,624,904,499,423,654,493,53,36,38,44,17,60
ENSMUSG00000055723,Rras2,related RAS viral (r-ras) oncogene 2 [Source:MGI Symbol;Acc:MGI:1914172],2.491514592,1.89E-86,4.91E-84,955,1290,802,690,953,858,175,129,139,163,173,163
ENSMUSG00000074604,Mgst2,microsomal glutathione S-transferase 2 [Source:MGI Symbol;Acc:MGI:2448481],-2.761261548,3.73E-86,9.54E-84,151,216,170,120,194,148,872,1058,1118,923,984,1556
ENSMUSG00000034379,Wdr5b,WD repeat domain 5B [Source:MGI Symbol;Acc:MGI:1916794],2.898004231,2.12E-84,5.36E-82,473,478,544,402,555,544,79,60,42,62,72,74
ENSMUSG00000029700,Slc13a1,"solute carrier family 13 (sodium/sulfate symporters), member 1 [Source:MGI Symbol;Acc:MGI:1859937]",-7.369477417,7.18E-84,1.80E-81,6,4,11,6,16,13,2325,1322,643,1853,1376,1459
ENSMUSG00000019966,Kitl,kit ligand [Source:MGI Symbol;Acc:MGI:96974],1.968547184,1.19E-83,2.94E-81,1027,1783,1168,1187,1387,1262,364,254,308,326,317,341
ENSMUSG00000031960,Aars,alanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2384560],1.74727632,2.52E-83,6.16E-81,788,892,681,646,878,752,212,196,229,224,224,238
ENSMUSG00000029822,Osbpl3,oxysterol binding protein-like 3 [Source:MGI Symbol;Acc:MGI:1918970],-2.485513257,4.20E-83,1.01E-80,73,100,82,77,98,76,494,335,357,493,495,557
ENSMUSG00000005268,Prlr,prolactin receptor [Source:MGI Symbol;Acc:MGI:97763],-2.005186729,9.53E-83,2.28E-80,348,342,292,240,324,288,1290,867,1283,1134,1180,1358
ENSMUSG00000027074,Slc43a3,"solute carrier family 43, member 3 [Source:MGI Symbol;Acc:MGI:1931054]",2.470600393,7.48E-82,1.77E-79,447,518,472,428,534,538,80,51,106,82,80,115
ENSMUSG00000023959,Clic5,chloride intracellular channel 5 [Source:MGI Symbol;Acc:MGI:1917912],-2.689871122,1.04E-81,2.43E-79,146,171,145,167,180,177,1022,749,1176,730,1223,1224
ENSMUSG00000086841,2410006H16Rik,RIKEN cDNA 2410006H16 gene [Source:MGI Symbol;Acc:MGI:1916471],3.790195038,1.18E-81,2.74E-79,6781,7143,6172,4830,4420,3879,327,242,549,420,257,560
ENSMUSG00000021226,Acot2,acyl-CoA thioesterase 2 [Source:MGI Symbol;Acc:MGI:2159605],3.990386506,1.28E-81,2.93E-79,4263,5551,3893,3344,3342,3120,288,106,190,273,170,441
ENSMUSG00000041028,Ghitm,growth hormone inducible transmembrane protein [Source:MGI Symbol;Acc:MGI:1913342],2.107929965,2.84E-81,6.42E-79,4510,4675,3898,3825,4164,4395,1084,688,1087,733,992,1139
ENSMUSG00000079057,Cyp4v3,"cytochrome P450, family 4, subfamily v, polypeptide 3 [Source:MGI Symbol;Acc:MGI:2142763]",-3.372633898,1.08E-80,2.43E-78,254,166,161,185,206,197,1873,1117,2460,1508,1944,2982
ENSMUSG00000053054,Adh6a,alcohol dehydrogenase 6A (class V) [Source:MGI Symbol;Acc:MGI:1916367],-2.98120161,1.45E-80,3.22E-78,255,181,315,280,275,269,2431,1593,1622,1858,2317,2325
ENSMUSG00000045005,Fzd5,frizzled class receptor 5 [Source:MGI Symbol;Acc:MGI:108571],-1.924671956,1.74E-80,3.82E-78,114,144,118,108,131,110,436,349,482,482,394,507
ENSMUSG00000025528,2010106E10Rik,RIKEN cDNA 2010106E10 gene [Source:MGI Symbol;Acc:MGI:1914965],-3.720336015,7.01E-80,1.52E-77,148,69,108,103,95,86,1501,741,1425,1059,1497,1677
ENSMUSG00000073987,Ggh,gamma-glutamyl hydrolase [Source:MGI Symbol;Acc:MGI:1329035],3.390304093,3.69E-79,7.93E-77,393,578,411,640,388,502,52,58,39,44,32,41
ENSMUSG00000018238,Gdf9,growth differentiation factor 9 [Source:MGI Symbol;Acc:MGI:95692],6.403307835,1.61E-78,3.42E-76,516,338,319,288,342,290,3,5,5,3,2,6
ENSMUSG00000042406,Atf4,activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096],1.849175437,2.38E-78,5.01E-76,5200,6558,4823,4308,5209,4572,1409,1382,1411,1183,1322,1416
ENSMUSG00000042638,Gucy2c,guanylate cyclase 2c [Source:MGI Symbol;Acc:MGI:106903],-1.917767867,5.88E-78,1.23E-75,484,549,449,452,477,463,1660,1294,1940,1538,1655,2458
ENSMUSG00000021477,Ctsl,cathepsin L [Source:MGI Symbol;Acc:MGI:88564],1.81894858,7.33E-78,1.52E-75,859,957,710,807,702,712,224,183,214,224,194,260
ENSMUSG00000025791,Pgm1,phosphoglucomutase 1 [Source:MGI Symbol;Acc:MGI:97565],2.596965038,8.94E-78,1.83E-75,2171,2414,1742,1306,1942,1787,298,244,280,246,360,376
ENSMUSG00000028557,Rnf11,ring finger protein 11 [Source:MGI Symbol;Acc:MGI:1352759],2.245594293,9.43E-78,1.91E-75,1551,1799,1211,1200,1234,1260,254,262,330,293,230,299
ENSMUSG00000020142,Slc1a4,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:MGI Symbol;Acc:MGI:2135601]",3.662326317,9.73E-78,1.96E-75,336,384,266,251,326,323,20,39,24,23,21,14
ENSMUSG00000031410,Nxf7,nuclear RNA export factor 7 [Source:MGI Symbol;Acc:MGI:2159343],5.83865308,2.93E-77,5.83E-75,299,321,204,232,233,319,6,7,6,4,2,2
ENSMUSG00000012848,Rps5,ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682],1.12682757,1.05E-76,2.08E-74,8131,9256,7260,7563,7925,7857,3813,3187,3332,3510,3411,3872
ENSMUSG00000029335,Bmp3,bone morphogenetic protein 3 [Source:MGI Symbol;Acc:MGI:88179],-4.618725025,1.86E-76,3.64E-74,11,10,10,15,10,7,219,165,313,266,291,227
ENSMUSG00000053581,Zfand2a,"zinc finger, AN1-type domain 2A [Source:MGI Symbol;Acc:MGI:2140729]",3.604135519,2.76E-76,5.35E-74,376,359,285,241,348,277,20,21,42,14,24,28
ENSMUSG00000021266,Wars,tryptophanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:104630],2.236662787,1.06E-75,2.03E-73,729,821,666,589,670,693,151,167,148,122,109,152
ENSMUSG00000035181,Heatr5a,HEAT repeat containing 5A [Source:MGI Symbol;Acc:MGI:2444133],-1.741076844,1.11E-75,2.12E-73,114,140,126,133,132,139,491,360,380,427,365,512
ENSMUSG00000001739,Cldn15,claudin 15 [Source:MGI Symbol;Acc:MGI:1913103],-2.496507902,2.27E-75,4.29E-73,341,348,525,430,469,442,2635,1898,2434,2279,2412,2315
ENSMUSG00000028518,Prkaa2,"protein kinase, AMP-activated, alpha 2 catalytic subunit [Source:MGI Symbol;Acc:MGI:1336173]",2.149612177,4.88E-75,9.12E-73,433,576,492,431,520,454,122,66,126,106,88,126
ENSMUSG00000038132,Rbm24,RNA binding motif protein 24 [Source:MGI Symbol;Acc:MGI:3610364],4.085556303,6.33E-75,1.17E-72,484,680,354,303,512,429,23,16,29,28,11,51
ENSMUSG00000022180,Slc7a8,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8 [Source:MGI Symbol;Acc:MGI:1355323]",-4.770064899,8.36E-75,1.54E-72,21,22,18,51,22,27,593,311,991,696,710,994
ENSMUSG00000040147,Maob,monoamine oxidase B [Source:MGI Symbol;Acc:MGI:96916],-3.825763666,9.03E-75,1.65E-72,50,79,54,74,85,48,806,447,1237,654,1060,1104
ENSMUSG00000027698,Nceh1,neutral cholesterol ester hydrolase 1 [Source:MGI Symbol;Acc:MGI:2443191],2.032678717,1.79E-74,3.24E-72,651,730,606,666,727,778,202,127,117,167,157,216
ENSMUSG00000109644,0610005C13Rik,RIKEN cDNA 0610005C13 gene [Source:MGI Symbol;Acc:MGI:1918911],-2.164516191,3.64E-74,6.52E-72,122,140,158,150,182,148,852,498,647,582,618,710
ENSMUSG00000049044,Rapgef4,Rap guanine nucleotide exchange factor (GEF) 4 [Source:MGI Symbol;Acc:MGI:1917723],2.817059943,1.31E-73,2.33E-71,225,285,198,199,276,197,31,26,27,34,40,29
ENSMUSG00000031628,Casp3,caspase 3 [Source:MGI Symbol;Acc:MGI:107739],-2.507014298,3.22E-73,5.68E-71,73,96,90,80,116,99,562,437,496,374,585,566
ENSMUSG00000031278,Acsl4,acyl-CoA synthetase long-chain family member 4 [Source:MGI Symbol;Acc:MGI:1354713],2.961817139,3.54E-73,6.19E-71,512,710,476,568,454,427,55,83,53,77,45,73
ENSMUSG00000057880,Abat,4-aminobutyrate aminotransferase [Source:MGI Symbol;Acc:MGI:2443582],-3.70935969,1.21E-72,2.10E-70,26,16,10,18,20,18,243,160,216,178,271,297
ENSMUSG00000050157,Gm867,predicted gene 867 [Source:MGI Symbol;Acc:MGI:2685713],2.703666816,2.45E-72,4.22E-70,2135,2158,3088,2000,2358,2223,352,269,448,306,337,374
ENSMUSG00000023057,Fabp2,"fatty acid binding protein 2, intestinal [Source:MGI Symbol;Acc:MGI:95478]",-5.109756502,7.53E-72,1.29E-69,404,447,398,530,548,568,11671,8941,27072,8524,17296,23634
ENSMUSG00000104368,2010103J01Rik,RIKEN cDNA 2010103J01 gene [Source:MGI Symbol;Acc:MGI:1917139],-3.355321868,7.98E-72,1.35E-69,32,16,47,34,31,33,326,239,327,328,349,355
ENSMUSG00000025396,Hsd17b6,hydroxysteroid (17-beta) dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:1351670],-6.109948495,2.99E-71,5.03E-69,5,6,4,5,7,4,274,241,381,179,461,528
ENSMUSG00000028972,Car6,carbonic anhydrase 6 [Source:MGI Symbol;Acc:MGI:1333786],9.861724105,3.38E-71,5.64E-69,965,1366,1011,1046,1177,1209,1,3,2,0,0,1
