ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0043436,oxoacid metabolic process,135/863,465/4859,1.9638452564389336e-10,6.298587331560508e-8,5.605885550198411e-8,Abat/Abcd1/Abcd3/Abcg2/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acad8/Acadm/Acat1/Acat2/Aco1/Acot12/Acot4/Acox1/Acss2/Acy1/Adh1/Adipor2/Ahcy/Akr1a1/Akr1c18/Aldh1a1/Aldh1l1/Aldh6a1/Apoa1/Apoa4/Arg2/As3mt/Asah2/Aspa/Atp2b4/Atp8b1/Auh/Bco2/Cd36/Cd74/Ces1d/Cryl1/Csad/Cyb5a/Cyp2b10/Cyp2b19/Cyp2c29/Cyp2c40/Cyp2c55/Cyp2d26/Cyp2s1/Cyp4f14/Dao/Dars2/Dbi/Decr2/Dgat1/Dhfr/Dld/Dpep1/Echdc1/Eci1/Eci3/Eno3/Ephx2/Etfdh/Fabp2/Fads2/Fasn/Gadl1/Gcdh/Ggt1/Glud1/Gne/Gnpda1/Gpd1/Gpx1/Gstz1/Hacl1/Hadh/Hagh/Hnf4a/Hpgd/Hsd17b4/Idh2/Ireb2/Ivd/Iyd/Khk/Lipe/Lpgat1/Lta4h/Lypla1/Mapk14/Mccc2/Me2/Mlxipl/Mpst/Mrps36/Mthfd1/Naaa/Nanp/Ncor1/Ndufs6/Nit2/Oat/Otc/Papss1/Pck1/Pdk2/Pdk3/Pipox/Pm20d1/Pycrl/Qdpr/Rdh16/Scly/Scp2/Sdhb/Sgpl1/Slc23a2/Slc27a2/Slc27a4/Slc4a4/Slc7a7/Smpd3/Spr/Stard4/Stat3/Sult1b1/Sult2b1/Syk/Tecr/Ugt1a1/Ugt2a3/Vnn1,135
BP,GO:0019752,carboxylic acid metabolic process,132/863,457/4859,4.763292528602575e-10,1.4004080034091572e-7,1.246394878317674e-7,Abat/Abcd1/Abcd3/Abcg2/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acad8/Acadm/Acat1/Acat2/Aco1/Acot12/Acot4/Acox1/Acss2/Acy1/Adh1/Adipor2/Ahcy/Akr1a1/Akr1c18/Aldh1a1/Aldh1l1/Aldh6a1/Apoa1/Apoa4/Arg2/As3mt/Asah2/Aspa/Atp2b4/Atp8b1/Auh/Bco2/Cd36/Cd74/Ces1d/Cryl1/Csad/Cyb5a/Cyp2b10/Cyp2b19/Cyp2c29/Cyp2c40/Cyp2c55/Cyp2d26/Cyp2s1/Cyp4f14/Dao/Dars2/Dbi/Decr2/Dgat1/Dhfr/Dld/Dpep1/Echdc1/Eci1/Eci3/Eno3/Ephx2/Etfdh/Fabp2/Fads2/Fasn/Gadl1/Gcdh/Ggt1/Glud1/Gne/Gnpda1/Gpd1/Gpx1/Gstz1/Hacl1/Hadh/Hagh/Hnf4a/Hpgd/Hsd17b4/Idh2/Ireb2/Ivd/Iyd/Khk/Lipe/Lpgat1/Lta4h/Lypla1/Mapk14/Mccc2/Me2/Mlxipl/Mpst/Mrps36/Mthfd1/Naaa/Nanp/Ncor1/Ndufs6/Nit2/Oat/Otc/Pck1/Pdk2/Pdk3/Pipox/Pm20d1/Pycrl/Qdpr/Rdh16/Scly/Scp2/Sdhb/Sgpl1/Slc23a2/Slc27a2/Slc27a4/Slc4a4/Slc7a7/Smpd3/Spr/Stard4/Stat3/Syk/Tecr/Ugt1a1/Ugt2a3/Vnn1,132
BP,GO:0010257,NADH dehydrogenase complex assembly,23/863,38/4859,4.334106887223707e-9,1.0921949355803741e-6,9.72078258991603e-7,Ndufa10/Ndufa11/Ndufa13/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa8/Ndufa9/Ndufb10/Ndufb11/Ndufb3/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufs8,23
BP,GO:0032981,mitochondrial respiratory chain complex I assembly,23/863,38/4859,4.334106887223707e-9,1.0921949355803741e-6,9.72078258991603e-7,Ndufa10/Ndufa11/Ndufa13/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa8/Ndufa9/Ndufb10/Ndufb11/Ndufb3/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufs8,23
BP,GO:0045333,cellular respiration,43/863,102/4859,5.379611141999589e-9,1.2652845405983032e-6,1.126131932391914e-6,Aco1/Cat/Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7c/Dld/Etfdh/Gpd1/Idh2/Ireb2/COX2/COX3/ND1/ND4/ND5/Ndufa10/Ndufa12/Ndufa5/Ndufa7/Ndufa8/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs1/Ndufs2/Ndufs4/Ndufs6/Ndufs7/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Sdhb/Sdhc/Uqcr10/Uqcrb/Uqcrc1/Uqcrfs1/Uqcrq,43
BP,GO:0044282,small molecule catabolic process,65/863,185/4859,6.04241724981027e-9,1.3323530035831644e-6,1.1858243852752656e-6,Abat/Abcd1/Abcd3/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acad8/Acadm/Acat1/Acat2/Acot4/Acox1/Adh1/Ahcy/Akr1a1/Akr1c18/Aldh1l1/Aldh6a1/Arg2/Atp2b4/Auh/Bad/Cda/Ces1d/Csad/Cubn/Cyp4f14/Dao/Dbi/Dpyd/Echdc1/Eci1/Eci3/Etfdh/Galm/Gcdh/Glud1/Gnpda1/Gstz1/Hacl1/Hadh/Hagh/Hpgd/Hsd17b4/Inpp5b/Ivd/Khk/Lipe/Mccc2/Oat/Otc/Pck1/Pipox/Pnp/Pycrl/Qdpr/Scly/Scp2/Slc27a2/Slc27a4/Sord/Sult1b1/Upp1,65
BP,GO:0008202,steroid metabolic process,46/863,115/4859,1.1674338804204701e-8,2.4227686647784815e-6,2.15631904971781e-6,Acaa1a/Akr1c13/Akr1c18/Apoa1/Apoa4/Atp1a1/Atp8b1/Cat/Ces1d/Cubn/Cyb5r3/Cyp2b10/Cyp3a11/Cyp3a25/Dhcr24/Dhcr7/Dhrs4/Ebp/Ephx2/Fdps/Fmo5/Hdlbp/Hsd11b2/Hsd17b11/Hsd17b4/Hsd17b6/Lbr/Lipe/Lpcat3/Mttp/Mvd/Mvk/Npc1l1/Nr3c1/Pmvk/Rdh16/Sc5d/Scp2/Sec14l2/Sgpl1/Slc27a2/Soat2/Stard4/Sult1b1/Sult2b1/Tecr,46
BP,GO:1901615,organic hydroxy compound metabolic process,67/863,196/4859,1.2571374669982058e-8,2.4639894353164832e-006,2.1930064702079813e-6,Abat/Acaa1a/Adh1/Akr1a1/Akr1c18/Aldh1a1/Apoa1/Apoa4/Asah2/Atp8b1/Cat/Ces1d/Chka/Cubn/Cyb5r3/Cyp4f14/Dao/Dhcr24/Dhcr7/Dhfr/Dhrs4/Ebp/Ephx2/Fdps/Fmo5/Gde1/Gpd1/Hagh/Hdlbp/Idh2/Inpp5b/Ipmk/Iyd/Lbr/Lipe/Lpcat3/Maob/Mttp/Mvd/Mvk/Naaa/Ndufs4/Npc1l1/Nudt4/Pck1/Plb1/Plcb3/Plcg2/Pmvk/Pnpo/Ptk2b/Pts/Qdpr/Rdh11/Retsat/Sc5d/Scp2/Sec14l2/Slc16a10/Slc27a2/Soat2/Sord/Spr/Stard4/Sult1b1/Sult1d1/Sult2b1,67
BP,GO:0016054,organic acid catabolic process,50/863,131/4859,1.7045507075531428e-8,3.006827448123744e-6,2.6761446108584348e-6,Abat/Abcd1/Abcd3/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acad8/Acadm/Acat1/Acat2/Acot4/Acox1/Ahcy/Akr1a1/Aldh1l1/Aldh6a1/Arg2/Atp2b4/Auh/Ces1d/Csad/Cyp4f14/Dao/Dbi/Echdc1/Eci1/Eci3/Etfdh/Gcdh/Glud1/Gnpda1/Gstz1/Hacl1/Hadh/Hpgd/Hsd17b4/Ivd/Lipe/Mccc2/Oat/Otc/Pck1/Pipox/Qdpr/Scly/Scp2/Slc27a2/Slc27a4,50
BP,GO:0046395,carboxylic acid catabolic process,50/863,131/4859,1.7045507075531428e-8,3.006827448123744e-6,2.6761446108584348e-6,Abat/Abcd1/Abcd3/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acad8/Acadm/Acat1/Acat2/Acot4/Acox1/Ahcy/Akr1a1/Aldh1l1/Aldh6a1/Arg2/Atp2b4/Auh/Ces1d/Csad/Cyp4f14/Dao/Dbi/Echdc1/Eci1/Eci3/Etfdh/Gcdh/Glud1/Gnpda1/Gstz1/Hacl1/Hadh/Hpgd/Hsd17b4/Ivd/Lipe/Mccc2/Oat/Otc/Pck1/Pipox/Qdpr/Scly/Scp2/Slc27a2/Slc27a4,50
BP,GO:0048002,antigen processing and presentation of peptide antigen,16/863,23/4859,6.095694826296058e-8,1.0240767308177376e-5,9.114515121223632e-6,B2m/Cd74/Ctss/Erap1/H2-Aa/H2-Ab1/H2-DMa/H2-Eb1/H2-K1/H2-T23/H2-T3/Ifi30/Pycard/Tap1/Tap2/Tapbpl,16
BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",14/863,19/4859,1.358003259567406e-7,2.0830589129364384e-5,1.8539696674094153e-5,Dld/ND4/Ndufa10/Ndufa7/Ndufa8/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs2/Ndufs6/Ndufs8/Ndufv1/Ndufv2,14
BP,GO:0019884,antigen processing and presentation of exogenous antigen,14/863,19/4859,1.358003259567406e-7,2.0830589129364384e-5,1.8539696674094153e-5,B2m/Cd74/Ctss/H2-Aa/H2-Ab1/H2-DMa/H2-Eb1/H2-K1/H2-T23/Ifi30/Psme1/Psme2/Tap1/Tap2,14
BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,12/863,15/4859,2.4773793636085054e-7,3.641747664504503e-5,3.241238000721128e-5,B2m/Cd74/Ctss/H2-Aa/H2-Ab1/H2-DMa/H2-Eb1/H2-K1/H2-T23/Ifi30/Tap1/Tap2,12
BP,GO:0055086,nucleobase-containing small molecule metabolic process,83/863,279/4859,2.924899250586878e-7,4.127617822428202e-5,3.673673458737119e-5,Abcd1/Acaa2/Acat1/Acot12/Acot4/Acss2/Adcy6/Adk/Ahcy/Aldh6a1/Atp5j/B4galnt2/Bad/Cda/Ces1d/Cmpk2/Cnp/Cox5b/Dgat1/Dld/Dpyd/Dtymk/Eno3/Entpd7/Far2/Fasn/Flad1/Gcdh/Gda/Gmds/Gne/Gnpda1/Gpd1/Gucy2c/Hnf4a/Hsd17b4/Idh2/Itpa/Khk/Mapk1/Mccc2/Mcee/Mlxipl/COX2/Mthfd1/Mvd/Mvk/Nadk/Naprt/Ncor1/Ndufc2/Nme3/Nudt12/Nudt2/Nudt4/Oasl2/Pank3/Papss1/Pde4d/Pdk2/Pdk3/Pgm3/Pipox/Pmvk/Pnp/Ppcs/Prpsap1/Prpsap2/Pycrl/Rfk/Rhoa/Rrm1/Samhd1/Scp2/Slc4a4/Smpdl3a/Stat3/Sult1b1/Sult2b1/Tymp/Uap1/Upp1/Xdh,83
BP,GO:0030258,lipid modification,42/863,111/4859,3.233514407384402e-7,4.2888369706202874e-5,3.817162156391073e-5,Abcd1/Abcd3/Acaa1a/Acaa1b/Acaa2/Acad11/Acadm/Acat1/Acat2/Acox1/Adipor2/Apoa1/Apoa4/Auh/B4galnt1/B4galnt2/Bpnt1/Cd36/Dbi/Dgat1/Dgka/Echdc1/Eci1/Eci3/Efr3b/Ephx2/Etfdh/Gcdh/Hacl1/Hadh/Hsd17b4/Inpp5b/Ivd/Lpcat3/Mapk14/Mtmr12/Pik3r1/Scp2/Slc27a2/Soat2/St3gal4/Stard4,42
BP,GO:0019882,antigen processing and presentation,20/863,36/4859,3.282273191801241e-7,4.2888369706202874e-5,3.817162156391073e-5,B2m/Cd74/Ctss/Erap1/H2-Aa/H2-Ab1/H2-DMa/H2-Eb1/H2-K1/H2-T23/H2-T3/Ifi30/Psmb8/Psmb9/Psme1/Psme2/Pycard/Tap1/Tap2/Tapbpl,20
BP,GO:0006066,alcohol metabolic process,53/863,154/4859,3.4759316097056183e-7,4.379673828229079e-5,3.898009019455587e-5,Adh1/Akr1a1/Akr1c18/Aldh1a1/Apoa1/Apoa4/Asah2/Cat/Ces1d/Chka/Cubn/Cyb5r3/Dhcr24/Dhcr7/Dhfr/Dhrs4/Ebp/Ephx2/Fdps/Fmo5/Gde1/Gpd1/Hdlbp/Idh2/Inpp5b/Ipmk/Lbr/Lipe/Lpcat3/Mttp/Mvd/Mvk/Naaa/Npc1l1/Nudt4/Pck1/Plb1/Plcb3/Plcg2/Pmvk/Ptk2b/Pts/Qdpr/Rdh11/Retsat/Sc5d/Scp2/Sec14l2/Soat2/Sord/Spr/Sult1b1/Sult2b1,53
BP,GO:0015980,energy derivation by oxidation of organic compounds,48/863,135/4859,4.192675774750198e-7,5.1006069425236894e-5,4.539655838867457e-5,Acadm/Aco1/Cat/Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7c/Dld/Etfdh/Gpd1/Hmgb1/Idh2/Ireb2/Khk/COX2/COX3/ND1/ND4/ND5/Ndufa10/Ndufa12/Ndufa5/Ndufa7/Ndufa8/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs1/Ndufs2/Ndufs4/Ndufs6/Ndufs7/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Pygb/Sdhb/Sdhc/Sorbs1/Uqcr10/Uqcrb/Uqcrc1/Uqcrfs1/Uqcrq,48
BP,GO:0019637,organophosphate metabolic process,112/863,412/4859,4.4022447126438077e-7,5.177039782069118e-5,4.607682799233853e-5,Abcd1/Abhd16a/Abhd6/Acaa2/Acat1/Acot12/Acot4/Acp6/Acss2/Adcy6/Adk/Agpat3/Apoa1/Apoa4/Atp5j/Bad/Bpnt1/Cda/Ces1d/Chka/Chkb/Ckmt1/Cmpk2/Cnp/Cox5b/Dab2ip/Dbi/Dgat1/Dgka/Dld/Dtymk/Efr3b/Eno3/Entpd7/Far2/Fasn/Fdps/Flad1/Gcdh/Gde1/Gnpda1/Gpd1/Gpd1l/Gucy2c/Hexb/Hnf4a/Hsd17b4/Idh2/Inpp5b/Ipmk/Itpa/Khk/Lpcat3/Lpgat1/Lyn/Mapk1/Mccc2/Mcee/Mlxipl/Mocs1/Mocs2/COX2/Mthfd1/Mtmr12/Mvd/Mvk/Nadk/Naprt/Ncor1/Ndufc2/Nme3/Nudt12/Nudt2/Nudt4/Oasl2/Pank3/Papss1/Pcyt2/Pde4d/Pdk2/Pdk3/Pfkfb4/Pgm3/Pik3r1/Pip5k1b/Pipox/Plb1/Plbd1/Plcb3/Plcg2/Pmvk/Pnp/Pnpo/Ppcs/Prpsap1/Prpsap2/Ptdss1/Ptk2b/Rfk/Rhoa/Rrm1/Samhd1/Scp2/Slc4a4/Smpd3/Smpdl3a/Smpdl3b/Stat3/Sult1b1/Sult2b1/Tpk1/Upp1,112
BP,GO:0050892,intestinal absorption,17/863,29/4859,9.163540241431761e-7,1.0428699990893953e-4,9.281779470353463e-5,Abcb1a/Abcg2/Abcg5/Acat2/Aco1/Apoa1/Apoa4/Cd36/Dgat1/Fabp2/Ireb2/Lpcat3/Npc1l1/Pls1/Slc26a6/Slc5a1/Vil1,17
BP,GO:0019395,fatty acid oxidation,27/863,61/4859,1.249229512878601e-6,1.335539915586577e-4,1.1886608092238812e-4,Abcd1/Abcd3/Acaa1a/Acaa1b/Acaa2/Acad11/Acadm/Acat1/Acat2/Acox1/Adipor2/Auh/Cd36/Dbi/Dgat1/Echdc1/Eci1/Eci3/Etfdh/Gcdh/Hacl1/Hadh/Hsd17b4/Ivd/Mapk14/Scp2/Slc27a2,27
BP,GO:0034440,lipid oxidation,27/863,61/4859,1.249229512878601e-6,1.335539915586577e-4,1.1886608092238812e-4,Abcd1/Abcd3/Acaa1a/Acaa1b/Acaa2/Acad11/Acadm/Acat1/Acat2/Acox1/Adipor2/Auh/Cd36/Dbi/Dgat1/Echdc1/Eci1/Eci3/Etfdh/Gcdh/Hacl1/Hadh/Hsd17b4/Ivd/Mapk14/Scp2/Slc27a2,27
BP,GO:0009062,fatty acid catabolic process,30/863,72/4859,1.5469079390110812e-6,1.605144473185616e-4,1.4286149789690574e-4,Abcd1/Abcd3/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acadm/Acat1/Acat2/Acox1/Auh/Ces1d/Cyp4f14/Dbi/Echdc1/Eci1/Eci3/Etfdh/Gcdh/Hacl1/Hadh/Hpgd/Hsd17b4/Ivd/Lipe/Pck1/Scp2/Slc27a2/Slc27a4,30
